,time,open,high,low,close,tick_volume,spread,real_volume
4138,2019-12-06,143.094,143.148,142.371,142.636,94819,0,0
4139,2019-12-09,142.666,143.108,142.563,142.661,84371,0,0
4140,2019-12-10,142.639,143.663,142.615,143.067,100060,0,0
4141,2019-12-11,142.994,143.379,142.55,143.241,102633,0,0
4142,2019-12-12,143.246,144.152,142.482,143.995,126832,0,0
4143,2019-12-13,143.889,147.959,143.889,145.795,165767,0,0
4144,2019-12-16,145.762,146.812,145.72,146.092,105880,0,0
4145,2019-12-17,146.022,146.086,143.479,143.751,110181,0,0
4146,2019-12-18,143.731,143.861,143.073,143.312,109079,0,0
4147,2019-12-19,143.261,143.866,141.98,142.22,107176,0,0
4148,2019-12-20,142.258,143.055,142.086,142.272,87724,0,0
4149,2019-12-23,142.262,142.542,141.163,141.508,73605,0,0
4150,2019-12-24,141.495,141.853,141.32,141.682,63819,0,0
4151,2019-12-26,141.481,142.731,141.481,142.487,60593,0,0
4152,2019-12-27,142.441,143.644,142.033,143.259,69238,0,0
4153,2019-12-30,143.277,143.43,142.59,142.737,96631,0,0
4154,2019-12-31,142.772,144.36,142.428,143.956,75639,0,0
4155,2020-01-02,144.106,144.19,142.271,142.607,104355,0,0
4156,2020-01-03,142.606,142.784,141.003,141.354,138100,0,0
4157,2020-01-06,141.188,142.789,140.84,142.704,120844,0,0
4158,2020-01-07,142.646,143.294,142.021,142.311,120016,0,0
4159,2020-01-08,142.27,143.107,141.122,142.913,173312,0,0
4160,2020-01-09,142.841,143.456,142.426,143.121,121816,0,0
4161,2020-01-10,143.101,143.499,142.89,143.034,95895,0,0
4162,2020-01-13,142.774,142.969,142.36,142.791,90749,0,0
4163,2020-01-14,142.802,143.436,142.452,143.214,116304,0,0
4164,2020-01-15,143.189,143.387,142.658,143.292,98676,0,0
4165,2020-01-16,143.283,144.142,143.222,144.054,93661,0,0
4166,2020-01-17,144.035,144.53,143.282,143.29,94185,0,0
4167,2020-01-20,143.011,143.363,142.804,143.343,57338,0,0
4168,2020-01-21,143.337,143.975,142.861,143.353,90370,0,0
4169,2020-01-22,143.341,144.61,143.265,144.33,102146,0,0
4170,2020-01-23,144.315,144.413,143.211,143.717,101702,0,0
4171,2020-01-24,143.696,144.389,142.719,142.851,101990,0,0
4172,2020-01-27,142.427,142.75,142.053,142.202,124809,0,0
4173,2020-01-28,142.171,142.458,141.482,142.192,99597,0,0
4174,2020-01-29,142.177,142.343,141.712,141.933,89289,0,0
4175,2020-01-30,141.908,142.713,141.26,142.613,129154,0,0
4176,2020-01-31,142.655,143.29,142.461,143.101,126556,0,0
4177,2020-02-03,142.931,143.107,141.072,141.259,126845,0,0
4178,2020-02-04,141.22,142.842,140.926,142.726,113674,0,0
4179,2020-02-05,142.713,143.378,142.228,142.786,116374,0,0
4180,2020-02-06,142.773,142.822,142.092,142.195,96275,0,0
4181,2020-02-07,142.202,142.375,141.404,141.449,108115,0,0
4182,2020-02-10,141.37,142.095,141.239,141.768,102780,0,0
4183,2020-02-11,141.778,142.465,141.697,142.215,88458,0,0
4184,2020-02-12,142.196,142.889,142.174,142.646,86971,0,0
4185,2020-02-13,142.654,143.48,142.146,143.227,117208,0,0
4186,2020-02-14,143.184,143.408,142.767,143.219,84334,0,0
4187,2020-02-17,143.166,143.369,142.846,142.87,61050,0,0
4188,2020-02-18,142.877,143.232,142.32,142.796,97004,0,0
4189,2020-02-19,142.805,144.168,142.775,143.886,98172,0,0
4190,2020-02-20,143.868,144.608,143.6,144.422,127722,0,0
4191,2020-02-21,144.411,144.961,143.724,144.554,119661,0,0
4192,2020-02-24,144.032,144.625,142.633,143.182,136153,0,0
4193,2020-02-25,143.138,143.646,142.966,143.299,183054,0,0
4194,2020-02-26,143.306,143.726,142.238,142.415,174976,0,0
4195,2020-02-27,142.408,142.552,141.177,141.191,213738,0,0
4196,2020-02-28,141.214,141.411,137.53,138.521,253401,0,0
4197,2020-03-02,137.224,139.187,137.147,138.175,232291,0,0
4198,2020-03-03,138.125,138.57,136.94,137.273,218879,0,0
4199,2020-03-04,137.217,138.435,137.041,138.421,171855,0,0
4200,2020-03-05,138.412,138.679,137.375,137.51,153894,0,0
4201,2020-03-06,137.475,137.737,136.438,137.414,255429,0,0
4202,2020-03-09,136.276,136.854,132.584,134.264,334575,0,0
4203,2020-03-10,134.373,137.213,133.704,136.41,353695,0,0
4204,2020-03-11,136.384,136.558,133.805,133.938,286336,0,0
4205,2020-03-12,133.965,134.304,131.326,131.447,333437,0,0
4206,2020-03-13,131.476,134.312,131.222,132.58,350196,0,0
4207,2020-03-16,131.303,133.051,128.902,129.978,332765,0,0
4208,2020-03-17,129.857,131.218,128.59,129.707,381988,0,0
4209,2020-03-18,129.783,130.328,124.023,125.665,397762,0,0
4210,2020-03-19,125.544,129.568,124.001,127.077,407273,0,0
4211,2020-03-20,127.169,132.034,126.417,128.999,313737,0,0
4212,2020-03-23,129.288,129.559,127.35,128.447,312650,0,0
4213,2020-03-24,128.352,131.429,127.694,130.752,302855,0,0
4214,2020-03-25,130.77,133.4,129.859,132.12,320128,0,0
4215,2020-03-26,132.048,133.821,130.54,133.732,329856,0,0
4216,2020-03-27,133.724,134.733,132.117,134.517,300252,0,0
4217,2020-03-30,133.838,134.412,132.749,133.852,220613,0,0
4218,2020-03-31,133.743,134.625,133.047,133.514,239068,0,0
4219,2020-04-01,133.481,133.818,132.486,132.525,208695,0,0
4220,2020-04-02,132.596,133.954,132.52,133.722,208246,0,0
4221,2020-04-03,133.718,134.09,132.548,133.071,183601,0,0
4222,2020-04-06,132.512,134.526,132.495,133.616,181915,0,0
4223,2020-04-07,133.575,134.98,132.916,134.222,192535,0,0
4224,2020-04-08,134.124,135.027,133.695,134.742,165251,0,0
4225,2020-04-09,134.736,135.75,134.642,135.24,175889,0,0
4226,2020-04-10,135.13,135.403,134.943,134.943,59165,0,0
4227,2020-04-13,134.963,135.224,134.514,134.737,119443,0,0
4228,2020-04-14,134.792,135.496,134.574,135.35,131253,0,0
4229,2020-04-15,135.28,135.332,133.637,134.527,143784,0,0
4230,2020-04-16,134.482,134.885,133.713,134.404,151784,0,0
4231,2020-04-17,134.417,134.957,133.899,134.431,150163,0,0
4232,2020-04-20,134.407,134.729,133.791,133.799,117705,0,0
4233,2020-04-21,133.83,134.065,131.908,132.478,153012,0,0
4234,2020-04-22,132.478,133.3,132.046,132.888,120083,0,0
4235,2020-04-23,132.877,133.685,132.4,132.874,141380,0,0
4236,2020-04-24,132.802,133.155,132.393,132.926,119916,0,0
4237,2020-04-27,132.958,133.573,132.822,133.322,110147,0,0
4238,2020-04-28,133.341,133.558,132.728,132.762,125201,0,0
4239,2020-04-29,132.745,133.007,131.941,132.955,116422,0,0
4240,2020-04-30,132.962,135.451,132.521,134.967,140578,0,0
4241,2020-05-01,134.904,135.078,133.367,133.533,108510,0,0
4242,2020-05-04,133.403,133.446,132.52,132.777,104514,0,0
4243,2020-05-05,132.766,133.179,132.449,132.464,120793,0,0
4244,2020-05-06,132.452,132.664,130.835,130.942,110713,0,0
4245,2020-05-07,130.948,132.023,130.659,131.369,120065,0,0
4246,2020-05-08,131.336,132.685,131.284,132.307,101846,0,0
4247,2020-05-11,132.246,133.192,131.883,132.774,119674,0,0
4248,2020-05-12,132.769,132.867,131.311,131.36,135915,0,0
4249,2020-05-13,131.32,131.939,130.653,130.969,140169,0,0
4250,2020-05-14,130.87,131.305,130.146,131.146,137251,0,0
4251,2020-05-15,131.123,131.419,129.58,129.6,125376,0,0
4252,2020-05-18,129.392,131.282,129.298,130.872,115512,0,0
4253,2020-05-19,130.853,132.507,130.768,131.913,121537,0,0
4254,2020-05-20,131.953,132.422,131.439,131.595,110441,0,0
4255,2020-05-21,131.646,131.952,131.223,131.522,105754,0,0
4256,2020-05-22,131.47,131.78,130.676,130.906,102436,0,0
4257,2020-05-25,131.002,131.41,130.898,131.21,76781,0,0
4258,2020-05-26,131.256,133.042,131.21,132.677,111303,0,0
4259,2020-05-27,132.571,133.006,131.632,132.065,143232,0,0
4260,2020-05-28,132.066,132.882,131.83,132.61,140643,0,0
4261,2020-05-29,132.591,133.463,131.782,133.044,161667,0,0
4262,2020-06-01,132.71,134.534,132.703,134.366,123949,0,0
4263,2020-06-02,134.374,136.521,134.219,136.405,132161,0,0
4264,2020-06-03,136.385,137.393,136.255,136.945,147765,0,0
4265,2020-06-04,136.93,137.811,135.957,137.492,143265,0,0
4266,2020-06-05,137.463,139.736,137.275,138.803,148154,0,0
4267,2020-06-08,138.958,139.578,137.427,137.962,114899,0,0
4268,2020-06-09,137.95,138.241,136.234,137.138,132840,0,0
4269,2020-06-10,137.139,137.424,136.473,136.546,152967,0,0
4270,2020-06-11,136.487,136.591,134.469,134.661,194997,0,0
4271,2020-06-12,134.639,136.048,133.798,134.646,195579,0,0
4272,2020-06-15,134.36,135.319,133.497,135.303,175422,0,0
